timestamp,lap time,stroke count,stroke type
2024-10-05T01:44:40Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-05T02:59:48Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-05T03:15:09Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-05T13:31:42Z,00:00:22.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-05T19:04:56Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-05T19:05:31Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-05T19:08:08Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-05T21:48:23Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-06T23:20:50Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:04:43Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:12:12Z,00:00:23.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:15:38Z,00:00:23.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:18:36Z,00:00:23.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:23:14Z,00:00:39.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:24:07Z,00:00:29.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:26:43Z,00:00:36.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:28:00Z,00:00:43.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:30:41Z,00:00:53.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:31:52Z,00:00:51.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:33:52Z,00:00:47.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:36:14Z,00:00:42.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:38:05Z,00:00:54.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:39:43Z,00:00:36.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:41:19Z,00:00:34.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:42:53Z,00:00:21.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T11:58:24Z,00:00:23.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T13:00:36Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T22:33:01Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T23:23:34Z,00:00:14.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-07T23:33:04Z,00:00:17.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-08T02:29:52Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-08T02:30:28Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-08T02:38:46Z,00:00:25.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-08T02:40:31Z,00:00:36.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-08T11:21:14Z,00:00:36.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-08T11:49:27Z,00:00:46.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-08T11:54:24Z,00:00:41.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-08T12:00:02Z,00:00:50.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-08T12:02:22Z,00:00:29.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-08T12:04:20Z,00:00:36.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-08T12:08:14Z,00:00:34.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-09T11:37:44Z,00:00:40.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-09T11:39:09Z,00:00:46.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-09T11:41:15Z,00:00:49.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-09T11:43:01Z,00:00:37.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-09T11:45:39Z,00:00:51.000,16,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-09T11:47:42Z,00:00:47.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-09T12:49:44Z,00:00:25.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-09T12:52:24Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-09T12:59:48Z,00:00:25.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T00:01:18Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T00:02:28Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T00:44:13Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T00:44:54Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T01:42:34Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T01:55:56Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T02:30:46Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T02:31:53Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:21:35Z,00:00:20.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:23:08Z,00:00:31.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:25:34Z,00:00:25.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:27:00Z,00:00:19.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:29:17Z,00:00:24.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:30:48Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:32:46Z,00:00:23.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:34:15Z,00:00:33.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:36:49Z,00:00:35.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:39:26Z,00:00:28.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:40:15Z,00:00:31.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:41:51Z,00:00:34.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:43:26Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:43:46Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:44:41Z,00:00:44.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:46:15Z,00:00:33.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:47:09Z,00:00:46.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:48:30Z,00:00:31.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:49:12Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:50:29Z,00:00:27.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:51:55Z,00:00:55.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T11:57:53Z,00:00:21.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T12:02:23Z,00:00:27.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T12:04:16Z,00:00:31.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-10T12:07:15Z,00:00:29.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T00:45:21Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T12:58:10Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T13:00:32Z,00:00:25.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T16:20:10Z,00:00:18.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T16:41:55Z,00:00:23.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T16:43:50Z,00:00:26.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T16:47:33Z,00:00:49.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T16:49:18Z,00:00:42.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T16:51:14Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T16:51:42Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T16:53:50Z,00:00:39.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T16:55:35Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T16:55:59Z,00:00:37.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T16:57:35Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T16:59:36Z,00:00:23.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T17:01:16Z,00:00:34.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T17:02:48Z,00:00:24.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-11T22:38:43Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-12T03:19:37Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-12T08:32:59Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-12T13:50:30Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-12T21:41:59Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-13T02:13:40Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-13T07:19:51Z,00:00:18.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-13T07:31:35Z,00:00:25.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-13T16:27:21Z,00:00:19.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-14T00:00:55Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-14T23:56:02Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T00:03:20Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T01:53:49Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T01:54:12Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T01:58:57Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T01:59:45Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T02:00:03Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T02:11:52Z,00:00:26.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T02:12:42Z,00:00:35.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T02:13:45Z,00:00:48.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T02:18:58Z,00:00:57.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T02:23:31Z,00:00:41.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T02:25:12Z,00:00:29.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T02:26:35Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T10:50:44Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T12:19:05Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T13:47:36Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-15T20:22:46Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T00:21:52Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T00:30:26Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T00:33:31Z,00:00:17.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T00:33:52Z,00:00:17.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T00:35:08Z,00:00:23.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T00:36:36Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
