type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2024-09-30T21:46:30,2024-10-01T04:29:30,402,33.58554726368159,22.393972223955643,165.7616171442205,0.21481882367830904,0.6206354923724532
SKIN,2024-10-01T22:16,2024-10-02T04:15,359,33.54036211699164,1.282448036950882,166.99663418647833,0.20807507467255215,0.6251822595612475
SKIN,2024-10-02T21:51:30,2024-10-03T04:24:30,366,33.137158469945355,-143.72175663191956,111.12624844082166,0.22095067309692856,0.6252163568395962
SKIN,2024-10-03T21:42:30,2024-10-04T04:48:30,426,33.50523474178404,-7.521945945947664,87.8646426545456,0.21473350574664482,0.6162340772949083
SKIN,2024-10-04T23:44,2024-10-05T05:02:30,319,33.542978056426335,4.190764028462581,117.15912571514491,0.20925286702627968,0.6159166242171202
SKIN,2024-10-06T22:26:30,2024-10-07T04:44:30,377,33.577294429708225,15.270230946880474,206.90415478299838,0.2046538155798057,0.6228789419051666
SKIN,2024-10-07T21:57,2024-10-08T04:44:30,402,33.60139303482587,25.252456978907503,123.1733049339382,0.20080882675516487,0.6193297273374143
SKIN,2024-10-08T22:39:30,2024-10-09T04:19:30,340,33.509764705882354,-9.188545034643539,111.99610282317735,0.19619227310431087,0.6177975851751594
SKIN,2024-10-09T22:34,2024-10-10T04:48:30,375,33.618559999999995,29.994008375846533,120.98966383584775,0.19320137601437914,0.6154619537671092
SKIN,2024-10-10T21:49:30,2024-10-11T04:49:30,419,33.508830548926014,-11.714942263279227,157.2982684300514,0.18913506512124342,0.615647172983283
SKIN,2024-10-11T22:46,2024-10-12T06:51:30,486,33.83156378600823,141.5240111420626,183.8624397732783,0.19367258826549807,0.6140984792640307
SKIN,2024-10-13T03:05,2024-10-13T08:15:30,310,34.16396774193549,192.50680250783626,310.59675842511933,0.2225933936280317,0.6276179424249255
SKIN,2024-10-14T22:09:30,2024-10-15T05:53:30,461,33.63973969631236,27.12206978113136,166.00044483551756,0.21890046874733926,0.6192045933730453
SKIN,2024-10-19T23:49,2024-10-20T07:12:30,439,33.75763097949886,75.99628342245887,297.3946248154389,0.23148809578879412,0.6393273749814925
SKIN,2024-10-20T22:21:30,2024-10-21T04:55:30,389,33.773650385604114,73.37216683960105,94.19588346208911,0.22868421284017623,0.6325637372377219
SKIN,2024-10-22T23:09,2024-10-23T04:22,313,33.87354632587859,87.66384328358254,87.81331763323396,0.23414051765021396,0.6321547429595121
SKIN,2024-10-23T22:28:30,2024-10-24T04:18:30,341,33.51598240469208,-23.54624963418064,30.098878216580488,0.23541330890014608,0.6261232101558836
SKIN,2024-10-24T22:05,2024-10-25T04:45,400,33.495275,-35.903196051824125,80.97436846664641,0.21379087424425813,0.6172417456249722
SKIN,2024-10-27T22:25,2024-10-28T04:15,350,33.39734285714286,-56.977685073547036,71.1220191323664,0.2068668395141508,0.6006507219683546
SKIN,2024-10-28T22:02:30,2024-10-29T04:36:30,393,33.738422391857505,61.70160724890047,115.7180695598945,0.20824400085793884,0.6020089848621357
SKIN,2024-10-30T02:17:30,2024-10-30T05:38:30,201,34.586865671641796,201.26500000000033,339.135874751315,0.2934427805136102,0.626616603439803
SKIN,2024-10-30T22:03,2024-10-31T04:44:30,402,33.61450248756219,5.2700000000022555,74.47743731341325,0.29313365808812164,0.6175851715050603
SKIN,2024-11-01T00:15:30,2024-11-01T04:47,271,33.66789667896679,14.469825870646673,90.9111057590926,0.29177649045661486,0.6128445615291332
