type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2025-06-30T23:14,2025-07-01T05:44:30,389,34.05897172236504,46.69915492957807,164.99778681527823,0.27078161620913926,0.65964309886057
SKIN,2025-07-04T01:29:30,2025-07-04T05:51:30,258,33.512984496124034,-78.91929577464725,182.97732614562847,0.2833959026915078,0.6896110035871866
SKIN,2025-07-05T22:26:30,2025-07-06T07:45:30,559,33.68472271914132,-37.4950704225339,285.3291236241348,0.2576345995772759,0.6951657114748471
SKIN,2025-07-06T23:25,2025-07-07T06:35:30,431,33.58341067285383,-43.665491949908755,104.452526652487,0.2465114971166133,0.6661426591309595
SKIN,2025-07-07T23:36:30,2025-07-08T05:29:30,345,33.747913043478256,10.900330948123155,104.9494951153174,0.2282277482183996,0.6546173503461522
SKIN,2025-07-10T00:37:30,2025-07-10T06:06:30,328,33.87701219512195,42.34452173913269,166.1447137844516,0.21761077044699823,0.6610689389067266
SKIN,2025-07-10T23:51,2025-07-11T06:22:30,372,33.97739247311828,72.16775137783407,95.6532662337413,0.2159203766646688,0.6478441261019766
SKIN,2025-07-15T01:18,2025-07-15T07:11:30,348,34.16402298850575,120.1121126760554,235.91603336646222,0.2344350784160793,0.6640136362440894
SKIN,2025-07-17T00:10,2025-07-17T06:52:30,400,33.96585,47.162913088288406,72.84016192762647,0.22744286532901084,0.6460186077139782
SKIN,2025-07-17T23:34:30,2025-07-18T07:02:30,433,33.968175519630485,39.47371951219611,60.61501416191459,0.22099314837658462,0.6265096407881884
SKIN,2025-07-19T20:20,2025-07-19T23:55:30,216,34.00222222222222,17.450882926828854,123.72620979137719,0.2165550311565675,0.6323548469140974
SKIN,2025-07-19T20:20,2025-07-20T02:16:30,357,33.9790756302521,4.721550000000207,140.33884043246508,0.21115354631568284,0.6320372612053129
SKIN,2025-07-21T23:57,2025-07-22T07:02:30,420,34.055119047619044,37.0046408775961,150.09103558689822,0.20959848890998548,0.6293568385884137
SKIN,2025-07-23T23:22,2025-07-24T06:48:30,442,33.84366515837104,-54.51963983833957,68.62272924894933,0.18562640191534185,0.6035175357175492
SKIN,2025-07-25T00:20,2025-07-25T05:58:30,339,34.118938053097345,51.108498845265785,70.23886446666438,0.1877113699280773,0.5960331541073485
SKIN,2025-07-26T00:11:30,2025-07-26T07:00,400,33.907325,-23.875103926098745,99.74828921875451,0.18210711602625815,0.5912201626005185
SKIN,2025-07-27T23:26,2025-07-28T06:10:30,394,33.17172588832487,-312.8849000000009,338.1522696650354,0.24476292711556227,0.615995294525874
SKIN,2025-07-29T00:00:30,2025-07-29T06:07:30,364,33.21148351648352,-253.28629999999976,246.66831364750396,0.2810776460648784,0.6295671121486033
SKIN,2025-07-29T23:09:30,2025-07-30T05:44:30,394,33.238401015228426,-263.55604999999923,238.88705581624527,0.31152086861117123,0.6355831933618027
SKIN,2025-07-31T23:46,2025-08-01T05:57:30,370,33.83621621621622,-15.094512195120842,67.46189810382202,0.3050831149473889,0.6244578627759059
