timestamp,Infrared to Red Signal Ratio
10/30/24 00:00:59,43
10/30/24 00:01:59,0
10/30/24 00:02:59,0
10/30/24 00:03:59,0
10/30/24 00:04:59,0
10/30/24 00:05:59,2
10/30/24 00:06:59,0
10/30/24 00:07:59,1
10/30/24 00:08:59,0
10/30/24 00:09:59,12
10/30/24 00:10:59,37
10/30/24 00:11:59,5
10/30/24 00:12:59,8
10/30/24 00:13:59,29
10/30/24 00:14:59,-5
10/30/24 00:15:59,21
10/30/24 00:16:59,-3
10/30/24 00:17:59,-6
10/30/24 00:18:59,14
10/30/24 00:19:59,0
10/30/24 00:20:59,11
10/30/24 00:21:59,-21
10/30/24 00:22:59,-32
10/30/24 00:23:59,-13
10/30/24 00:24:59,-26
10/30/24 00:25:59,-2
10/30/24 00:26:59,-17
10/30/24 00:27:59,2
10/30/24 00:28:59,-13
10/30/24 00:29:59,-2
10/30/24 00:30:59,-12
10/30/24 00:31:59,4
10/30/24 00:32:59,19
10/30/24 00:33:59,0
10/30/24 00:34:59,-2
10/30/24 00:36:00,0
10/30/24 00:37:00,0
10/30/24 00:38:01,-4
10/30/24 00:39:01,0
10/30/24 00:40:01,1
10/30/24 00:41:01,-12
10/30/24 00:42:01,4
10/30/24 00:43:06,2
10/30/24 00:44:06,0
10/30/24 00:45:06,-5
10/30/24 00:46:06,0
10/30/24 00:47:07,0
10/30/24 00:48:07,13
10/30/24 00:49:07,-20
10/30/24 00:50:07,-29
10/30/24 00:51:07,-8
10/30/24 00:52:07,38
10/30/24 00:53:07,0
10/30/24 00:54:07,-8
10/30/24 00:55:07,0
10/30/24 00:56:07,8
10/30/24 00:57:07,4
10/30/24 00:58:07,-18
10/30/24 00:59:07,-5
10/30/24 02:25:29,8
10/30/24 02:26:29,-19
10/30/24 02:27:29,30
10/30/24 02:28:29,-49
10/30/24 02:29:29,0
10/30/24 02:48:01,0
10/30/24 02:49:01,-2
10/30/24 02:50:01,-20
10/30/24 02:51:01,0
10/30/24 02:52:01,7
10/30/24 02:53:01,-2
10/30/24 02:54:01,1
10/30/24 02:55:01,-2
10/30/24 02:56:01,4
10/30/24 02:57:01,4
10/30/24 02:58:01,-1
10/30/24 02:59:01,21
10/30/24 03:00:01,3
10/30/24 03:01:01,11
10/30/24 03:02:01,44
10/30/24 03:03:01,0
10/30/24 03:04:01,-2
10/30/24 03:05:01,9
10/30/24 03:06:01,-8
10/30/24 03:07:01,0
10/30/24 03:08:01,10
10/30/24 03:09:01,-1
10/30/24 03:10:01,-8
10/30/24 03:11:01,32
10/30/24 03:12:01,-3
10/30/24 03:13:01,-1
10/30/24 03:14:01,45
10/30/24 03:15:01,-49
10/30/24 03:16:01,0
10/30/24 03:17:01,0
10/30/24 03:18:01,4
10/30/24 03:19:01,29
10/30/24 03:20:01,11
10/30/24 03:21:01,0
10/30/24 03:22:01,26
10/30/24 03:23:01,1
10/30/24 03:24:01,4
10/30/24 03:25:01,-9
10/30/24 03:26:01,0
10/30/24 03:27:01,4
10/30/24 03:28:01,-1
