timestamp,Infrared to Red Signal Ratio
09/28/24 00:00:59,-17
09/28/24 00:01:59,-1
09/28/24 00:02:59,0
09/28/24 00:03:59,-21
09/28/24 00:04:59,-7
09/28/24 00:05:59,-33
09/28/24 00:06:59,0
09/28/24 00:07:59,4
09/28/24 00:08:59,0
09/28/24 00:09:59,-37
09/28/24 00:10:59,0
09/28/24 00:11:59,-13
09/28/24 00:12:59,0
09/28/24 00:13:59,17
09/28/24 00:14:59,0
09/28/24 00:15:59,39
09/28/24 00:16:59,0
09/28/24 00:17:59,18
09/28/24 00:18:59,-5
09/28/24 00:19:59,9
09/28/24 00:20:59,0
09/28/24 00:21:59,0
09/28/24 00:22:59,-26
09/28/24 00:23:59,0
09/28/24 00:24:59,12
09/28/24 00:25:59,-24
09/28/24 00:26:59,-4
09/28/24 00:27:59,-47
09/28/24 00:28:59,-2
09/28/24 00:29:59,9
09/28/24 00:30:59,0
09/28/24 00:31:59,3
09/28/24 00:32:59,0
09/28/24 00:33:59,-34
09/28/24 00:34:59,-3
09/28/24 00:35:59,0
09/28/24 00:36:59,-6
09/28/24 00:37:59,-2
09/28/24 00:38:59,-17
09/28/24 00:39:59,3
09/28/24 00:40:59,-17
09/28/24 00:41:59,0
09/28/24 00:42:59,-9
09/28/24 00:43:59,4
09/28/24 00:44:59,14
09/28/24 00:45:59,0
09/28/24 00:46:59,0
09/28/24 00:47:59,-10
09/28/24 00:48:59,-2
09/28/24 00:49:59,-4
09/28/24 00:50:59,1
09/28/24 00:51:59,-2
09/28/24 00:52:59,34
09/28/24 00:53:59,-17
09/28/24 00:54:59,17
09/28/24 00:55:59,-4
09/28/24 00:56:59,0
09/28/24 00:57:59,0
09/28/24 00:58:59,-1
09/28/24 00:59:59,-30
09/28/24 01:00:59,-39
09/28/24 01:01:59,12
09/28/24 01:02:59,4
09/28/24 01:03:59,-17
09/28/24 01:04:59,4
09/28/24 01:05:59,-1
09/28/24 01:06:59,0
09/28/24 01:07:59,-7
09/28/24 01:08:59,-1
09/28/24 01:09:59,-13
09/28/24 01:10:59,14
09/28/24 01:11:59,-2
09/28/24 01:12:59,65
09/28/24 01:13:59,-9
09/28/24 01:14:59,-1
09/28/24 01:15:59,2
09/28/24 01:16:59,5
09/28/24 01:17:59,-1
09/28/24 01:18:59,27
09/28/24 01:19:59,0
09/28/24 01:20:59,13
09/28/24 01:21:59,2
09/28/24 01:22:59,-10
09/28/24 01:23:59,0
09/28/24 01:24:59,-4
09/28/24 01:25:59,2
09/28/24 01:26:59,3
09/28/24 01:27:59,-28
09/28/24 01:28:59,-4
09/28/24 01:29:59,-16
09/28/24 01:30:59,0
09/28/24 01:31:59,0
09/28/24 01:32:59,17
09/28/24 01:33:59,46
09/28/24 01:34:59,0
09/28/24 01:35:59,-2
09/28/24 01:36:59,-34
09/28/24 01:37:59,21
09/28/24 01:38:59,35
09/28/24 01:39:59,0
09/28/24 01:40:59,0
09/28/24 01:41:59,6
09/28/24 01:42:59,-1
09/28/24 01:43:59,0
09/28/24 01:44:59,0
09/28/24 01:45:59,-1
09/28/24 01:46:59,0
09/28/24 01:47:59,0
09/28/24 01:48:59,6
09/28/24 01:49:59,0
09/28/24 01:50:59,-26
09/28/24 01:51:59,-33
09/28/24 01:52:59,6
09/28/24 01:53:59,52
09/28/24 01:54:59,-4
09/28/24 01:55:59,-4
09/28/24 01:56:59,-26
09/28/24 01:57:59,0
09/28/24 01:58:59,10
09/28/24 01:59:59,8
09/28/24 02:00:59,0
09/28/24 02:01:59,23
09/28/24 02:02:59,-15
09/28/24 02:03:59,-37
09/28/24 02:04:59,1
09/28/24 02:05:59,8
09/28/24 02:06:59,-1
09/28/24 02:07:59,-5
09/28/24 02:08:59,-9
09/28/24 02:09:59,0
09/28/24 02:10:59,0
09/28/24 02:11:59,13
09/28/24 02:12:59,34
09/28/24 02:13:59,14
09/28/24 02:14:59,0
09/28/24 02:15:59,-4
09/28/24 02:16:59,-5
09/28/24 02:17:59,7
09/28/24 02:18:59,4
09/28/24 02:19:59,0
09/28/24 02:20:59,0
09/28/24 02:21:59,-49
09/28/24 02:22:59,22
09/28/24 02:23:59,-7
09/28/24 02:24:59,18
09/28/24 02:25:59,57
09/28/24 02:26:59,28
09/28/24 02:27:59,-29
09/28/24 02:28:59,-4
09/28/24 02:29:59,8
09/28/24 02:30:59,-2
09/28/24 02:31:59,0
09/28/24 02:32:59,4
09/28/24 02:33:59,0
09/28/24 02:34:59,0
09/28/24 02:35:59,-13
09/28/24 02:36:59,0
09/28/24 02:37:59,-8
09/28/24 02:38:59,13
09/28/24 02:39:59,-47
09/28/24 02:40:59,0
09/28/24 02:41:59,0
09/28/24 02:42:59,23
09/28/24 02:43:59,9
09/28/24 02:44:59,21
09/28/24 02:45:59,-1
09/28/24 02:46:59,7
09/28/24 02:47:59,3
09/28/24 02:48:59,15
09/28/24 02:49:59,-18
09/28/24 02:50:59,-4
