timestamp,Infrared to Red Signal Ratio
01/02/25 00:00:00,23
01/02/25 00:01:00,-16
01/02/25 00:02:00,-7
01/02/25 00:03:00,-21
01/02/25 00:04:00,0
01/02/25 00:05:00,-13
01/02/25 00:06:00,-32
01/02/25 00:07:00,-54
01/02/25 00:08:00,-38
01/02/25 00:09:00,7
01/02/25 00:10:00,-70
01/02/25 00:11:00,-1
01/02/25 00:12:00,6
01/02/25 00:13:00,-37
01/02/25 00:14:00,0
01/02/25 00:15:00,43
01/02/25 00:16:00,-11
01/02/25 00:17:00,-21
01/02/25 00:18:00,13
01/02/25 00:19:00,6
01/02/25 00:20:00,-16
01/02/25 00:21:00,3
01/02/25 00:22:00,35
01/02/25 00:23:00,29
01/02/25 00:24:00,-4
01/02/25 00:25:00,-8
01/02/25 00:26:00,-3
01/02/25 00:27:00,-8
01/02/25 00:28:00,7
01/02/25 00:29:00,0
01/02/25 00:30:00,55
01/02/25 00:31:00,0
01/02/25 00:32:00,2
01/02/25 00:33:00,45
01/02/25 00:34:00,-2
01/02/25 00:35:00,6
01/02/25 00:36:00,8
01/02/25 00:37:00,0
01/02/25 00:38:00,0
01/02/25 00:39:00,-12
01/02/25 00:40:00,0
01/02/25 00:41:00,-3
01/02/25 00:42:00,1
01/02/25 00:43:00,-4
01/02/25 00:44:00,44
01/02/25 00:45:00,6
01/02/25 00:46:00,-3
01/02/25 00:47:00,-25
01/02/25 00:48:00,-5
01/02/25 00:49:00,13
01/02/25 00:50:00,0
01/02/25 00:51:00,2
01/02/25 00:52:00,0
01/02/25 00:53:00,13
01/02/25 00:54:00,17
01/02/25 00:55:00,1
01/02/25 00:56:00,9
01/02/25 00:57:00,1
01/02/25 00:58:00,21
01/02/25 00:59:00,5
01/02/25 01:00:00,0
01/02/25 01:01:00,-4
01/02/25 01:02:00,14
01/02/25 01:03:00,0
01/02/25 01:04:00,4
01/02/25 01:05:00,-14
01/02/25 01:06:00,23
01/02/25 01:07:00,43
01/02/25 01:08:00,-8
01/02/25 01:09:00,58
01/02/25 01:10:00,0
01/02/25 01:11:00,0
01/02/25 01:12:00,14
01/02/25 01:13:00,21
01/02/25 01:14:00,4
01/02/25 01:15:00,12
01/02/25 01:16:00,16
01/02/25 01:17:00,11
01/02/25 01:18:00,-66
01/02/25 01:19:00,0
