timestamp,Infrared to Red Signal Ratio
03/06/25 00:00:59,-1
03/06/25 00:01:59,1
03/06/25 00:02:59,1
03/06/25 00:03:59,2
03/06/25 00:04:59,0
03/06/25 00:05:59,30
03/06/25 00:06:59,0
03/06/25 00:07:59,8
03/06/25 00:08:59,-7
03/06/25 00:09:59,16
03/06/25 00:10:59,-1
03/06/25 00:11:59,-27
03/06/25 00:12:59,-4
03/06/25 00:13:59,21
03/06/25 00:14:59,1
03/06/25 00:15:59,9
03/06/25 00:16:59,0
03/06/25 00:17:59,-18
03/06/25 00:18:59,-34
03/06/25 00:19:59,34
03/06/25 00:20:59,-47
03/06/25 00:21:59,30
03/06/25 00:22:59,-2
03/06/25 00:23:59,4
03/06/25 00:24:59,30
03/06/25 00:25:59,12
03/06/25 00:26:59,42
03/06/25 00:27:59,-6
03/06/25 00:28:59,-21
03/06/25 00:29:59,-34
03/06/25 00:30:59,-18
03/06/25 00:31:59,-3
03/06/25 00:32:59,0
03/06/25 00:33:59,-17
03/06/25 00:34:59,-27
03/06/25 00:35:59,-20
03/06/25 00:36:59,-40
03/06/25 00:37:59,0
03/06/25 00:38:59,7
03/06/25 00:39:59,-19
03/06/25 00:40:59,0
03/06/25 00:41:59,5
03/06/25 00:42:59,0
03/06/25 00:43:59,-28
03/06/25 00:44:59,7
03/06/25 00:45:59,-71
03/06/25 00:46:59,-3
03/06/25 00:47:59,49
03/06/25 00:48:59,0
03/06/25 00:49:59,12
03/06/25 00:50:59,4
03/06/25 00:51:59,11
03/06/25 00:52:59,28
03/06/25 00:53:59,0
03/06/25 00:54:59,-8
03/06/25 00:55:59,25
03/06/25 00:56:59,30
03/06/25 00:57:59,0
03/06/25 00:58:59,-10
03/06/25 00:59:59,0
03/06/25 01:00:59,-1
03/06/25 01:01:59,-4
03/06/25 01:02:59,-5
03/06/25 01:03:59,17
03/06/25 01:04:59,-23
03/06/25 01:05:59,17
03/06/25 01:06:59,19
03/06/25 01:07:59,-27
03/06/25 01:08:59,-51
03/06/25 01:09:59,-4
03/06/25 01:10:59,0
03/06/25 01:11:59,-13
03/06/25 01:12:59,0
03/06/25 01:13:59,-68
03/06/25 01:14:59,0
03/06/25 01:15:59,-12
03/06/25 01:16:59,0
03/06/25 01:17:59,-18
03/06/25 01:18:59,12
03/06/25 01:19:59,0
03/06/25 01:20:59,0
03/06/25 01:21:59,19
03/06/25 01:22:59,-8
03/06/25 01:23:59,56
03/06/25 01:24:59,1
03/06/25 01:25:59,37
03/06/25 01:26:59,-1
03/06/25 01:27:59,8
03/06/25 01:28:59,0
03/06/25 01:29:59,29
03/06/25 01:30:59,-2
03/06/25 01:31:59,0
03/06/25 01:32:59,-4
03/06/25 01:33:59,0
03/06/25 01:34:59,-3
03/06/25 01:35:59,2
03/06/25 01:36:59,-13
03/06/25 01:37:59,-11
03/06/25 01:38:59,-40
03/06/25 01:39:59,-8
03/06/25 01:40:59,13
03/06/25 01:41:59,-28
03/06/25 01:42:59,0
03/06/25 01:43:59,13
03/06/25 01:44:59,0
03/06/25 01:45:59,-13
03/06/25 01:46:59,40
03/06/25 01:47:59,0
03/06/25 01:48:59,-6
03/06/25 01:49:59,-3
03/06/25 01:50:59,21
03/06/25 01:51:59,-2
03/06/25 01:52:59,14
03/06/25 01:53:59,0
03/06/25 01:54:59,0
03/06/25 01:55:59,-6
03/06/25 01:56:59,0
03/06/25 01:57:59,-41
03/06/25 01:58:59,17
03/06/25 01:59:59,7
03/06/25 02:00:59,-4
03/06/25 02:01:59,60
03/06/25 02:02:59,2
03/06/25 02:03:59,39
03/06/25 02:04:59,-1
03/06/25 02:05:59,8
03/06/25 02:06:59,-1
03/06/25 02:07:59,0
03/06/25 02:08:59,-12
03/06/25 02:09:59,4
03/06/25 02:10:59,-1
03/06/25 02:11:59,-25
03/06/25 02:12:59,15
03/06/25 02:13:59,32
03/06/25 02:14:59,-19
03/06/25 02:15:59,-5
03/06/25 02:16:59,-4
03/06/25 02:17:59,-14
03/06/25 02:18:59,8
03/06/25 02:19:59,1
03/06/25 02:20:59,-18
03/06/25 02:21:59,-1
03/06/25 02:22:59,-34
03/06/25 02:23:59,-23
03/06/25 02:24:59,-39
03/06/25 02:25:59,0
03/06/25 02:26:59,0
03/06/25 02:27:59,1
03/06/25 02:28:59,-2
03/06/25 02:29:59,0
03/06/25 02:30:59,47
03/06/25 02:31:59,11
03/06/25 02:32:59,44
03/06/25 02:33:59,0
03/06/25 02:34:59,42
03/06/25 02:35:59,0
03/06/25 02:36:59,0
03/06/25 02:37:59,-38
03/06/25 02:38:59,-23
03/06/25 02:39:59,18
03/06/25 02:40:59,18
03/06/25 02:41:59,37
03/06/25 02:42:59,0
03/06/25 02:43:59,17
03/06/25 02:44:59,-1
03/06/25 02:45:59,8
03/06/25 02:46:59,-7
03/06/25 02:47:59,-50
03/06/25 02:48:59,-22
03/06/25 02:49:59,32
03/06/25 02:50:59,4
03/06/25 02:51:59,9
03/06/25 02:52:59,17
03/06/25 02:53:59,25
03/06/25 02:54:59,-4
03/06/25 02:55:59,14
03/06/25 02:56:59,-5
03/06/25 02:57:59,-22
03/06/25 02:58:59,0
03/06/25 02:59:59,-5
03/06/25 03:00:59,8
03/06/25 03:01:59,-2
03/06/25 03:02:59,-39
03/06/25 03:03:59,0
03/06/25 03:04:59,13
03/06/25 03:05:59,-4
03/06/25 03:06:59,-3
03/06/25 03:07:59,0
03/06/25 03:08:59,18
03/06/25 03:09:59,30
03/06/25 03:10:59,-4
03/06/25 03:11:59,-4
03/06/25 03:12:59,-4
03/06/25 03:13:59,-26
03/06/25 03:14:59,-17
03/06/25 03:15:59,-2
03/06/25 03:16:59,-26
03/06/25 03:17:59,0
03/06/25 03:18:59,0
03/06/25 03:19:59,0
03/06/25 03:20:59,2
03/06/25 03:21:59,27
03/06/25 03:22:59,5
03/06/25 03:23:59,0
03/06/25 03:24:59,43
03/06/25 03:25:59,0
03/06/25 03:26:59,0
03/06/25 03:27:59,0
03/06/25 03:28:59,0
03/06/25 03:29:59,74
03/06/25 03:30:59,0
03/06/25 03:31:59,0
03/06/25 03:32:59,0
03/06/25 03:33:59,0
03/06/25 03:34:59,2
03/06/25 03:35:59,-1
03/06/25 03:36:59,0
03/06/25 03:37:59,20
03/06/25 03:38:59,-2
03/06/25 03:39:59,0
03/06/25 03:40:59,-30
03/06/25 03:51:59,-17
03/06/25 03:52:59,2
03/06/25 03:53:59,4
03/06/25 03:54:59,0
03/06/25 03:55:59,8
03/06/25 03:56:59,-1
03/06/25 03:57:59,0
03/06/25 03:58:59,51
03/06/25 03:59:59,-1
03/06/25 04:00:59,0
03/06/25 04:01:59,0
03/06/25 04:02:59,22
03/06/25 04:03:59,0
03/06/25 04:04:59,0
03/06/25 04:05:59,46
03/06/25 04:06:59,24
03/06/25 04:07:59,0
03/06/25 04:08:59,-1
03/06/25 04:09:59,-21
03/06/25 04:10:59,0
03/06/25 04:11:59,8
03/06/25 04:12:59,12
03/06/25 04:13:59,-59
03/06/25 04:14:59,0
03/06/25 04:15:59,-10
03/06/25 04:16:59,0
03/06/25 04:17:59,17
03/06/25 04:18:59,0
03/06/25 04:19:59,0
03/06/25 04:20:59,-1
03/06/25 04:21:59,0
03/06/25 04:22:59,0
03/06/25 04:23:59,30
03/06/25 04:24:59,0
03/06/25 04:25:59,3
03/06/25 04:26:59,-5
03/06/25 04:27:59,-3
03/06/25 04:28:59,0
03/06/25 04:29:59,-8
03/06/25 04:30:59,0
03/06/25 04:31:59,-16
03/06/25 04:32:59,23
03/06/25 04:33:59,5
03/06/25 04:34:59,-10
03/06/25 04:35:59,16
03/06/25 04:36:59,21
03/06/25 04:37:59,-9
03/06/25 04:38:59,0
03/06/25 04:39:59,-5
03/06/25 04:40:59,8
03/06/25 04:41:59,-15
03/06/25 04:42:59,30
03/06/25 04:43:59,0
03/06/25 04:44:59,-26
03/06/25 04:45:59,-6
03/06/25 04:46:59,-29
03/06/25 04:47:59,0
03/06/25 04:48:59,-8
03/06/25 04:49:59,0
03/06/25 04:50:59,-5
03/06/25 04:51:59,-3
03/06/25 04:52:59,3
03/06/25 04:53:59,4
03/06/25 04:54:59,0
03/06/25 04:55:59,0
03/06/25 04:56:59,0
03/06/25 04:57:59,0
03/06/25 04:58:59,8
03/06/25 04:59:59,0
03/06/25 05:00:59,0
03/06/25 05:01:59,0
03/06/25 05:02:59,-9
03/06/25 05:03:59,17
03/06/25 05:04:59,-4
03/06/25 05:05:59,0
03/06/25 12:33:59,0
03/06/25 12:34:59,0
03/06/25 12:35:59,0
03/06/25 12:36:59,-9
03/06/25 12:38:00,0
03/06/25 12:39:00,6
03/06/25 12:40:00,0
03/06/25 12:41:00,-1
03/06/25 14:11:29,20
03/06/25 14:12:29,8
03/06/25 14:13:29,8
03/06/25 14:14:29,1
03/06/25 14:15:29,19
03/06/25 14:16:29,-17
03/06/25 14:17:29,-63
03/06/25 14:18:29,29
03/06/25 14:19:29,1
03/06/25 14:20:29,3
03/06/25 14:21:29,-24
03/06/25 14:22:29,0
03/06/25 14:23:29,-9
03/06/25 14:24:29,0
03/06/25 14:25:29,2
03/06/25 14:26:29,-1
03/06/25 14:27:29,-2
03/06/25 14:28:29,0
03/06/25 14:29:29,0
03/06/25 14:30:29,-4
03/06/25 14:31:29,13
03/06/25 14:32:29,9
03/06/25 14:33:29,9
03/06/25 14:34:29,-5
03/06/25 14:35:29,21
