timestamp,Infrared to Red Signal Ratio
02/23/24 07:49:30,13
02/23/24 07:50:30,0
02/23/24 07:51:30,0
02/23/24 07:52:30,0
02/23/24 07:53:30,0
02/23/24 07:54:30,-34
02/23/24 09:47:00,-34
02/23/24 09:48:00,0
02/23/24 09:49:00,5
02/23/24 09:50:00,1
02/23/24 09:51:00,-13
02/23/24 09:52:00,21
02/23/24 09:53:00,0
02/23/24 09:54:00,5
02/23/24 09:55:00,-4
02/23/24 09:56:00,-14
02/23/24 09:57:00,0
02/23/24 09:58:00,0
02/23/24 09:59:00,-4
02/23/24 10:00:00,-51
02/23/24 10:01:00,-13
02/23/24 10:02:00,2
02/23/24 10:43:01,0
02/23/24 10:44:01,0
02/23/24 10:45:01,0
02/23/24 10:46:01,0
02/23/24 10:47:01,0
02/23/24 10:48:01,0
02/23/24 10:50:01,0
02/23/24 10:51:01,0
02/23/24 10:52:01,0
02/23/24 10:53:01,0
02/23/24 10:54:01,0
02/23/24 10:55:01,0
02/23/24 10:58:30,0
02/23/24 10:59:30,0
02/23/24 11:00:30,0
02/23/24 11:01:30,0
02/23/24 11:02:30,0
02/23/24 11:03:30,0
02/23/24 11:04:30,0
02/23/24 11:05:30,0
02/23/24 11:06:30,0
02/23/24 11:07:30,0
02/23/24 11:08:30,0
02/23/24 11:09:30,0
02/23/24 11:10:30,0
02/23/24 11:11:30,0
02/23/24 11:12:30,0
02/23/24 11:13:30,0
02/23/24 11:14:30,0
02/23/24 11:15:30,0
02/23/24 11:16:30,0
02/23/24 11:17:30,0
02/23/24 11:18:30,0
02/23/24 11:19:30,0
02/23/24 11:20:30,0
02/23/24 11:21:30,0
02/23/24 11:22:30,0
02/23/24 11:23:30,0
02/23/24 11:24:30,0
02/23/24 11:25:30,0
02/23/24 11:26:30,0
02/23/24 11:27:30,0
02/23/24 12:35:01,0
02/23/24 12:36:01,0
02/23/24 12:37:01,0
02/23/24 12:38:01,0
02/23/24 12:39:01,0
02/23/24 12:40:01,0
02/23/24 12:41:01,-3
02/23/24 12:42:01,0
02/23/24 12:43:01,-5
02/23/24 12:44:01,4
02/23/24 15:15:31,0
02/23/24 15:16:31,-32
02/23/24 15:17:31,0
02/23/24 15:18:31,0
02/23/24 15:19:31,-27
02/23/24 15:20:31,8
02/23/24 18:21:00,0
02/23/24 18:22:00,-28
02/23/24 18:23:00,3
02/23/24 18:24:00,-13
02/23/24 18:25:00,0
02/23/24 18:26:00,38
