sleep_id,sleep_type,minutes_in_sleep_period,minutes_after_wake_up,minutes_to_fall_asleep,minutes_asleep,minutes_awake,minutes_longest_awakening,minutes_to_persistent_sleep,start_utc_offset,sleep_start,end_utc_offset,sleep_end,data_source,sleep_created,sleep_last_updated
1020819562295903720,CLASSIC,104,0,0,100,4,0,0,+00:00,2024-10-30 12:26:00+0000,+00:00,2024-10-30 14:10:30+0000,DERIVED,2024-10-30 19:11:00+0000,2024-10-30 19:11:04+0000
1029180372187603096,STAGES,413,0,0,379,34,0,0,+00:00,2025-01-05 00:13:00+0000,+00:00,2025-01-05 07:06:30+0000,DERIVED,2025-01-05 13:07:00+0000,2025-01-05 13:08:02+0000
1111591516272036568,CLASSIC,89,0,0,81,8,0,0,+00:00,2024-10-27 14:19:30+0000,+00:00,2024-10-27 15:48:30+0000,DERIVED,2024-10-27 20:49:00+0000,2024-10-27 20:49:34+0000
1130681585575031688,STAGES,367,0,0,341,26,0,0,+00:00,2025-01-05 22:44:00+0000,+00:00,2025-01-06 04:51:30+0000,DERIVED,2025-01-06 10:52:00+0000,2025-01-06 10:52:06+0000
1180145529970254184,STAGES,405,5,0,368,37,0,0,+00:00,2024-11-07 22:08:00+0000,+00:00,2024-11-08 04:58:30+0000,DERIVED,2024-11-08 06:29:00+0000,2024-11-08 10:59:22+0000
122895338117505088,CLASSIC,55,7,0,50,5,0,0,+00:00,2025-03-04 11:09:00+0000,+00:00,2025-03-04 12:11:30+0000,DERIVED,2025-03-04 18:12:00+0000,2025-03-04 18:12:14+0000
1275460073463729400,CLASSIC,83,0,0,78,5,0,0,+00:00,2024-11-23 14:11:30+0000,+00:00,2024-11-23 15:35:00+0000,DERIVED,2024-11-23 22:18:00+0000,2024-11-23 22:18:29+0000
1282096613421327216,STAGES,365,3,0,341,24,0,0,+00:00,2025-01-28 22:37:00+0000,+00:00,2025-01-29 04:45:00+0000,DERIVED,2025-01-29 10:52:00+0000,2025-01-29 10:52:04+0000
1292205957208746392,CLASSIC,166,1,0,161,5,0,0,+00:00,2024-11-22 10:15:30+0000,+00:00,2024-11-22 13:03:00+0000,DERIVED,2024-11-22 19:10:00+0000,2024-11-22 19:10:05+0000
1313139390037022256,STAGES,375,0,0,344,31,0,0,+00:00,2025-05-21 23:38:30+0000,+00:00,2025-05-22 05:53:30+0000,DERIVED,2025-05-21 22:54:00+0000,2025-05-21 22:54:22+0000
1313866847535538168,STAGES,358,0,0,283,75,0,0,+07:00,2025-06-30 00:52:00+0000,+07:00,2025-06-30 06:50:30+0000,DERIVED,2025-06-29 19:01:13+0000,2025-06-29 23:53:05+0000
1368617716503516912,STAGES,447,0,0,399,48,0,0,+07:00,2025-08-05 23:01:30+0000,+07:00,2025-08-06 06:29:00+0000,DERIVED,2025-08-05 23:41:03+0000,2025-08-05 23:41:04+0000
1517985177436786112,STAGES,427,0,0,366,61,0,0,+07:00,2025-07-06 23:25:00+0000,+07:00,2025-07-07 06:32:30+0000,DERIVED,2025-07-06 19:10:11+0000,2025-07-06 23:36:58+0000
1545874553670295208,CLASSIC,149,0,0,137,12,0,0,+00:00,2025-01-24 04:38:30+0000,+00:00,2025-01-24 07:07:30+0000,DERIVED,2025-01-24 13:10:00+0000,2025-01-24 13:10:17+0000
1549456138178488784,STAGES,407,1,0,380,27,0,0,+00:00,2024-12-26 22:03:00+0000,+00:00,2024-12-27 04:51:30+0000,DERIVED,2024-12-27 10:52:00+0000,2024-12-27 10:52:06+0000
1592964673844954472,CLASSIC,156,0,0,131,25,0,0,+00:00,2024-10-21 21:42:00+0000,+00:00,2024-10-22 00:18:30+0000,DERIVED,2024-10-22 05:50:00+0000,2024-10-22 05:50:57+0000
1640532259928496552,CLASSIC,131,0,0,124,7,0,0,+00:00,2025-02-02 01:46:30+0000,+00:00,2025-02-02 03:57:30+0000,DERIVED,2025-02-02 10:04:00+0000,2025-02-02 10:04:13+0000
188488000468924656,STAGES,428,0,0,381,47,0,0,+00:00,2025-03-27 21:53:30+0000,+00:00,2025-03-28 05:01:30+0000,DERIVED,2025-03-28 10:14:00+0000,2025-03-28 10:14:41+0000
1889047257718187384,STAGES,293,0,0,285,8,0,0,+00:00,2025-06-23 00:28:30+0000,+00:00,2025-06-23 05:21:30+0000,DERIVED,2025-06-22 22:22:00+0000,2025-06-22 22:22:29+0000
1903842204467220984,CLASSIC,101,0,0,96,5,0,0,+00:00,2024-11-01 12:39:00+0000,+00:00,2024-11-01 14:20:30+0000,DERIVED,2024-11-01 19:21:00+0000,2024-11-01 19:21:09+0000
1929879029393781400,CLASSIC,92,0,0,80,12,0,0,+00:00,2024-11-26 12:28:00+0000,+00:00,2024-11-26 14:00:30+0000,DERIVED,2024-11-26 20:02:00+0000,2024-11-26 20:02:36+0000
1959890235910686936,CLASSIC,98,0,0,88,10,0,0,+00:00,2025-02-25 15:34:30+0000,+00:00,2025-02-25 17:12:30+0000,DERIVED,2025-02-25 23:13:00+0000,2025-02-25 23:13:06+0000
2011867761651676440,STAGES,445,0,0,375,70,0,0,+07:00,2025-07-23 23:22:00+0000,+07:00,2025-07-24 06:47:30+0000,DERIVED,2025-07-23 23:49:48+0000,2025-07-23 23:49:48+0000
2063169498814347144,CLASSIC,98,1,0,93,5,0,0,+07:00,2025-08-03 16:43:00+0000,+07:00,2025-08-03 18:21:30+0000,DERIVED,2025-08-03 11:26:26+0000,2025-08-03 11:26:27+0000
2076026964481952960,STAGES,548,1,0,478,70,0,0,+00:00,2025-01-24 21:47:30+0000,+00:00,2025-01-25 06:56:30+0000,DERIVED,2025-01-25 09:42:00+0000,2025-01-25 12:57:33+0000
2086659714604970784,CLASSIC,63,0,0,60,3,0,0,+00:00,2024-11-23 06:16:30+0000,+00:00,2024-11-23 07:19:30+0000,DERIVED,2024-11-23 14:26:00+0000,2024-11-23 14:26:33+0000
2116944471609110560,STAGES,422,0,0,371,51,0,0,+00:00,2024-11-29 23:14:00+0000,+00:00,2024-11-30 06:16:30+0000,DERIVED,2024-11-30 12:17:00+0000,2024-11-30 12:17:13+0000
212499417924307160,CLASSIC,162,0,0,151,11,0,0,+00:00,2025-01-23 23:19:30+0000,+00:00,2025-01-24 02:02:00+0000,DERIVED,2025-01-24 09:23:00+0000,2025-01-24 09:23:54+0000
2145773695153136712,STAGES,518,0,0,441,77,0,0,+00:00,2025-01-29 21:52:00+0000,+00:00,2025-01-30 06:30:30+0000,DERIVED,2025-01-30 07:43:00+0000,2025-01-30 12:31:44+0000
2169506130234490176,CLASSIC,100,0,0,87,13,0,0,+00:00,2025-03-06 13:52:00+0000,+00:00,2025-03-06 15:32:30+0000,DERIVED,2025-03-06 21:33:00+0000,2025-03-06 21:33:20+0000
2178651034575148328,STAGES,559,0,0,494,65,0,0,+07:00,2025-07-05 22:26:30+0000,+07:00,2025-07-06 07:45:30+0000,DERIVED,2025-07-06 00:56:35+0000,2025-07-06 00:56:36+0000
2226787677545049920,CLASSIC,77,0,0,77,0,0,0,+00:00,2024-11-24 14:47:30+0000,+00:00,2024-11-24 16:05:00+0000,DERIVED,2024-11-24 22:47:00+0000,2024-11-24 22:47:10+0000
223359671115573592,STAGES,396,0,0,357,39,0,0,+00:00,2025-01-21 22:08:30+0000,+00:00,2025-01-22 04:44:30+0000,DERIVED,2025-01-22 06:35:00+0000,2025-01-22 10:45:42+0000
227094876114947600,STAGES,395,0,0,368,27,0,0,+00:00,2024-11-12 22:11:30+0000,+00:00,2024-11-13 04:47:00+0000,DERIVED,2024-11-13 06:03:00+0000,2024-11-13 10:54:50+0000
2325669803430686128,CLASSIC,97,0,0,95,2,0,0,+00:00,2024-10-25 11:12:00+0000,+00:00,2024-10-25 12:49:30+0000,DERIVED,2024-10-25 17:50:00+0000,2024-10-25 17:50:55+0000
2362327877449883752,STAGES,213,0,0,206,7,0,0,+00:00,2024-12-25 03:26:30+0000,+00:00,2024-12-25 06:59:30+0000,DERIVED,2024-12-25 13:11:00+0000,2024-12-25 13:11:52+0000
2412682040878527552,STAGES,352,4,0,328,24,0,0,+00:00,2025-01-06 22:29:30+0000,+00:00,2025-01-07 04:25:30+0000,DERIVED,2025-01-07 10:29:00+0000,2025-01-07 10:29:35+0000
2414448008518868760,STAGES,374,0,0,342,32,0,0,+00:00,2025-02-05 22:30:30+0000,+00:00,2025-02-06 04:44:30+0000,DERIVED,2025-02-06 10:58:00+0000,2025-02-06 10:58:35+0000
2435024315183068672,STAGES,400,0,0,372,28,0,0,+00:00,2024-10-24 22:05:00+0000,+00:00,2024-10-25 04:45:00+0000,DERIVED,2024-10-25 07:00:00+0000,2024-10-25 09:53:29+0000
2450507497973872280,STAGES,214,0,0,204,10,0,0,+00:00,2024-12-01 23:12:30+0000,+00:00,2024-12-02 02:46:30+0000,DERIVED,2024-12-02 10:45:00+0000,2024-12-02 10:45:22+0000
2517554980441563456,STAGES,526,0,0,500,26,0,0,+00:00,2025-02-14 23:07:30+0000,+00:00,2025-02-15 07:54:00+0000,DERIVED,2025-02-15 14:26:00+0000,2025-02-15 14:26:49+0000
2563906232005161048,CLASSIC,61,0,0,53,8,0,0,+00:00,2025-05-27 12:56:00+0000,+00:00,2025-05-27 13:57:30+0000,DERIVED,2025-05-27 06:58:00+0000,2025-05-27 06:58:06+0000
2575848391232356952,CLASSIC,74,6,0,73,1,0,0,+00:00,2025-06-21 15:46:00+0000,+00:00,2025-06-21 17:06:30+0000,DERIVED,2025-06-21 10:07:00+0000,2025-06-21 10:07:43+0000
2625082070946447744,CLASSIC,61,0,0,58,3,0,0,+00:00,2025-05-25 14:47:30+0000,+00:00,2025-05-25 15:49:00+0000,DERIVED,2025-05-25 09:00:00+0000,2025-05-25 09:00:12+0000
2641288482164401536,STAGES,300,0,0,281,19,0,0,+00:00,2025-03-22 00:12:30+0000,+00:00,2025-03-22 05:12:30+0000,DERIVED,2025-03-22 10:57:00+0000,2025-03-22 10:57:19+0000
2711183871779947288,CLASSIC,131,8,0,117,14,0,0,+00:00,2025-02-01 19:20:30+0000,+00:00,2025-02-01 21:39:30+0000,DERIVED,2025-02-02 03:41:00+0000,2025-02-02 03:41:03+0000
2758985483324797456,CLASSIC,67,0,0,63,4,0,0,+00:00,2024-11-11 12:45:30+0000,+00:00,2024-11-11 13:52:30+0000,DERIVED,2024-11-11 19:59:00+0000,2024-11-11 19:59:10+0000
2781059376279871232,CLASSIC,85,0,0,79,6,0,0,+00:00,2024-10-26 15:14:30+0000,+00:00,2024-10-26 16:39:30+0000,DERIVED,2024-10-26 21:46:00+0000,2024-10-26 21:46:03+0000
2819329796867344728,STAGES,358,0,0,328,30,0,0,+00:00,2024-12-12 22:40:00+0000,+00:00,2024-12-13 04:38:30+0000,DERIVED,2024-12-13 10:39:00+0000,2024-12-13 10:39:41+0000
2923967773475596792,STAGES,312,1,0,297,15,0,0,+00:00,2024-10-22 23:09:00+0000,+00:00,2024-10-23 04:22:00+0000,DERIVED,2024-10-23 09:43:00+0000,2024-10-23 09:43:54+0000
2926923991054045560,STAGES,315,0,0,293,22,0,0,+00:00,2025-01-12 23:29:00+0000,+00:00,2025-01-13 04:44:30+0000,DERIVED,2025-01-13 10:45:00+0000,2025-01-13 10:45:17+0000
2988288766309549872,STAGES,420,0,0,395,25,0,0,+00:00,2025-03-24 22:10:30+0000,+00:00,2025-03-25 05:11:00+0000,DERIVED,2025-03-25 08:42:00+0000,2025-03-25 10:48:57+0000
2991623134353829960,STAGES,369,0,0,343,26,0,0,+00:00,2024-11-01 22:57:00+0000,+00:00,2024-11-02 05:06:30+0000,DERIVED,2024-11-02 10:07:00+0000,2024-11-02 10:07:49+0000
3078900149556458640,CLASSIC,81,1,0,73,8,0,0,+07:00,2025-07-27 14:39:00+0000,+07:00,2025-07-27 16:00:30+0000,DERIVED,2025-07-27 09:06:27+0000,2025-07-27 09:06:27+0000
3094651809790555024,STAGES,294,0,0,268,26,0,0,+00:00,2024-12-23 23:46:30+0000,+00:00,2024-12-24 04:40:30+0000,DERIVED,2024-12-24 10:47:00+0000,2024-12-24 10:47:46+0000
3332852942478637768,STAGES,368,0,0,304,64,0,0,+07:00,2025-07-31 23:46:00+0000,+07:00,2025-08-01 05:54:30+0000,DERIVED,2025-07-31 22:59:00+0000,2025-07-31 22:59:01+0000
3344029140238008,STAGES,376,0,0,361,15,0,0,+00:00,2025-01-26 21:25:30+0000,+00:00,2025-01-27 03:41:30+0000,DERIVED,2025-01-27 09:51:00+0000,2025-01-27 09:51:05+0000
3349629618096389704,CLASSIC,66,0,0,56,10,0,0,+00:00,2025-02-17 14:29:30+0000,+00:00,2025-02-17 15:35:30+0000,DERIVED,2025-02-17 21:48:00+0000,2025-02-17 21:48:42+0000
3353237457411087912,STAGES,349,1,0,310,39,0,0,+00:00,2024-10-27 22:25:00+0000,+00:00,2024-10-28 04:15:00+0000,DERIVED,2024-10-28 10:43:00+0000,2024-10-28 10:43:13+0000
3495749302102925960,STAGES,338,0,0,306,32,0,0,+00:00,2024-12-23 00:42:00+0000,+00:00,2024-12-23 06:20:30+0000,DERIVED,2024-12-23 10:45:00+0000,2024-12-23 12:21:45+0000
3662387569831158168,STAGES,194,0,0,180,14,0,0,+00:00,2024-11-07 02:17:00+0000,+00:00,2024-11-07 05:31:00+0000,DERIVED,2024-11-07 11:39:00+0000,2024-11-07 11:39:07+0000
3664966627116833080,CLASSIC,112,0,0,112,0,0,0,+00:00,2025-05-08 12:52:30+0000,+00:00,2025-05-08 14:44:30+0000,DERIVED,2025-05-08 07:45:00+0000,2025-05-08 07:45:11+0000
368850541159570968,STAGES,401,0,0,380,21,0,0,+00:00,2024-10-30 22:03:00+0000,+00:00,2024-10-31 04:44:30+0000,DERIVED,2024-10-31 09:53:00+0000,2024-10-31 09:53:25+0000
372652024860273448,STAGES,347,0,0,322,25,0,0,+00:00,2025-02-13 22:29:00+0000,+00:00,2025-02-14 04:16:30+0000,DERIVED,2025-02-14 10:17:00+0000,2025-02-14 10:17:35+0000
3866191135288039440,STAGES,400,1,0,362,38,0,0,+07:00,2025-07-17 00:10:00+0000,+07:00,2025-07-17 06:50:30+0000,DERIVED,2025-07-16 23:53:03+0000,2025-07-16 23:53:04+0000
